Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Horse-gram,1999,Kharif     ,BIHAR,16021.0,12028,1402.7,1700308.73,4325.67,0.73125
Jowar,1999,Kharif     ,BIHAR,28442.0,38407,1402.7,3018549.46,7679.34,1.374054054
Jute,1999,Kharif     ,BIHAR,149123.0,1098574,1402.7,15826423.99,40263.21,7.803888889
Khesari,1999,Rabi       ,BIHAR,160964.0,160007,1402.7,17083109.32,43460.28,0.840285714
Linseed,1999,Rabi       ,BIHAR,43996.0,24687,1402.7,4669295.48,11878.92,0.565135135
Maize,1999,Kharif     ,BIHAR,385865.0,595085,1402.7,40951852.45,104183.55,1.615272727
Maize,1999,Rabi       ,BIHAR,199600.0,600608,1402.7,21183548.0,53892.0,2.928333333
Maize,1999,Summer     ,BIHAR,152658.0,365675,1402.7,16201593.54,41217.66,2.511666667
Masoor,1999,Rabi       ,BIHAR,170647.0,170117,1402.7,18110766.11,46074.69,0.825945946
Mesta,1999,Kharif     ,BIHAR,26199.0,177851,1402.7,2780499.87,7073.73,6.502083333
Moong(Green Gram),1999,Kharif     ,BIHAR,8821.0,4654,1402.7,936172.73,2381.67,0.552068966
Moong(Green Gram),1999,Rabi       ,BIHAR,172631.0,95154,1402.7,18321328.03,46610.37,0.567096774
Onion,1999,Whole Year ,BIHAR,17783.0,196037,1402.7,1887309.79,4801.41,11.98918919
Other  Rabi pulses,1999,Rabi       ,BIHAR,4033.0,3352,1402.7,428022.29,1088.91,0.823636364
Peas & beans (Pulses),1999,Rabi       ,BIHAR,25402.0,18164,1402.7,2695914.26,6858.54,0.727837838
Potato,1999,Whole Year ,BIHAR,144461.0,1381179,1402.7,15331645.93,39004.47,9.737297297
Ragi,1999,Kharif     ,BIHAR,65724.0,64673,1402.7,6975288.12,17745.48,0.9724
Rapeseed &Mustard,1999,Rabi       ,BIHAR,88908.0,70456,1402.7,9435806.04,24005.16,0.792162162
Rice,1999,Kharif     ,BIHAR,744230.0,862282,1402.7,78985129.9,200942.1,1.061666667
Rice,1999,Summer     ,BIHAR,124874.0,246807,1402.7,13252877.62,33715.98,1.700666667
Safflower,1999,Rabi       ,BIHAR,610.0,346,1402.7,64739.3,164.7,0.553333333
Sesamum,1999,Kharif     ,BIHAR,3599.0,1881,1402.7,381961.87,971.73,0.553103448
Sugarcane,1999,Whole Year ,BIHAR,97198.0,4088505,1402.7,10315623.74,26243.46,36.62083333
Sunflower,1999,Kharif     ,BIHAR,18274.0,16680,1402.7,1939419.62,4933.98,1.010666667
Sweet potato,1999,Whole Year ,BIHAR,5804.0,79132,1402.7,615978.52,1567.08,13.63172414
Tobacco,1999,Whole Year ,BIHAR,17389.0,17613,1402.7,1845494.57,4695.03,1.006666667
Turmeric,1999,Whole Year ,BIHAR,3134.0,3302,1402.7,332611.42,846.18,1.154210526
Urad,1999,Kharif     ,BIHAR,30571.0,23155,1402.7,3244500.23,8254.17,0.7275
Wheat,1999,Rabi       ,BIHAR,2080847.0,4583515,1402.7,220840292.1,561828.69,2.113513514
Arhar/Tur,1999,Kharif     ,HIMACHAL PRADESH,155.0,33,1144.9,16450.15,41.85,0.136666667
Barley,1999,Rabi       ,HIMACHAL PRADESH,25901.0,32496,1144.9,2748873.13,6993.27,1.228333333
Dry chillies,1999,Whole Year ,HIMACHAL PRADESH,859.0,276,1144.9,91165.67,231.93,0.311111111
Gram,1999,Rabi       ,HIMACHAL PRADESH,1691.0,1594,1144.9,179465.83,456.57,0.825555556
Groundnut,1999,Kharif     ,HIMACHAL PRADESH,179.0,150,1144.9,18997.27,48.33,0.558333333
Horse-gram,1999,Kharif     ,HIMACHAL PRADESH,3307.0,1634,1144.9,350971.91,892.89,0.475555556
Linseed,1999,Rabi       ,HIMACHAL PRADESH,2937.0,890,1144.9,311703.81,792.99,0.23
Maize,1999,Kharif     ,HIMACHAL PRADESH,299906.0,681424,1144.9,31829023.78,80974.62,2.324166667
Masoor,1999,Kharif     ,HIMACHAL PRADESH,1061.0,440,1144.9,112603.93,286.47,0.41
Moong(Green Gram),1999,Kharif     ,HIMACHAL PRADESH,342.0,139,1144.9,36296.46,92.34,0.255
Peas & beans (Pulses),1999,Kharif     ,HIMACHAL PRADESH,5046.0,11895,1144.9,535531.98,1362.42,1.59
Potato,1999,Whole Year ,HIMACHAL PRADESH,627.0,5395,1144.9,66543.51,169.29,5.58
Rapeseed &Mustard,1999,Rabi       ,HIMACHAL PRADESH,11079.0,5739,1144.9,1175814.27,2991.33,0.659090909
Rice,1999,Kharif     ,HIMACHAL PRADESH,80222.0,120365,1144.9,8513960.86,21659.94,1.55
Sesamum,1999,Kharif     ,HIMACHAL PRADESH,4056.0,2080,1144.9,430463.28,1095.12,0.415
Small millets,1999,Kharif     ,HIMACHAL PRADESH,15200.0,9818,1144.9,1613176.0,4104.0,0.457777778
Soyabean,1999,Kharif     ,HIMACHAL PRADESH,553.0,716,1144.9,58689.89,149.31,1.095
Sugarcane,1999,Whole Year ,HIMACHAL PRADESH,3005.0,15470,1144.9,318920.65,811.35,5.206666667
Urad,1999,Kharif     ,HIMACHAL PRADESH,14612.0,5418,1144.9,1550771.56,3945.24,0.495454545
Wheat,1999,Rabi       ,HIMACHAL PRADESH,370587.0,583300,1144.9,39330398.31,100058.49,1.5775
Arhar/Tur,1999,Kharif     ,PUNJAB,8600.0,7200,364.4,912718.0,2322.0,0.854166667
Bajra,1999,Kharif     ,PUNJAB,5000.0,4000,364.4,530650.0,1350.0,0.833333333
Barley,1999,Rabi       ,PUNJAB,30000.0,106000,364.4,3183900.0,8100.0,3.483
Cotton(lint),1999,Kharif     ,PUNJAB,475000.0,950000,364.4,50411750.0,128250.0,1.794
Gram,1999,Rabi       ,PUNJAB,6300.0,6100,364.4,668619.0,1701.0,1.000833333
Groundnut,1999,Kharif     ,PUNJAB,6000.0,6000,364.4,636780.0,1620.0,1.0
Linseed,1999,Rabi       ,PUNJAB,300.0,300,364.4,31839.0,81.0,1.0
Maize,1999,Kharif     ,PUNJAB,162000.0,417000,364.4,17193060.0,43740.0,2.711666667
Masoor,1999,Rabi       ,PUNJAB,3900.0,2600,364.4,413907.0,1053.0,0.695
Moong(Green Gram),1999,Kharif     ,PUNJAB,38300.0,22800,364.4,4064779.0,10341.0,0.636666667
Peas & beans (Pulses),1999,Rabi       ,PUNJAB,4300.0,2800,364.4,456359.0,1161.0,0.628333333
Rapeseed &Mustard,1999,Rabi       ,PUNJAB,56000.0,63000,364.4,5943280.0,15120.0,1.083529412
Rice,1999,Kharif     ,PUNJAB,2604000.0,8716000,364.4,276362520.0,703080.0,3.332352941
Sesamum,1999,Kharif     ,PUNJAB,15100.0,5200,364.4,1602563.0,4077.0,0.255
Sugarcane,1999,Whole Year ,PUNJAB,108000.0,6770000,364.4,11462040.0,29160.0,62.67266667
Urad,1999,Kharif     ,PUNJAB,3600.0,1710,364.4,382068.0,972.0,0.402
Wheat,1999,Rabi       ,PUNJAB,3388000.0,15910000,364.4,359568440.0,914760.0,4.651764706
Arhar/Tur,1999,Kharif     ,TAMIL NADU,87782.0,62411,922.8,9316303.66,23701.14,0.680769231
Bajra,1999,Kharif     ,TAMIL NADU,177406.0,258774,922.8,18828098.78,47899.62,1.7384
Banana,1999,Whole Year ,TAMIL NADU,86449.0,2762324,922.8,9174832.37,23341.23,29.60071429
Black pepper,1999,Whole Year ,TAMIL NADU,563.0,122,922.8,59751.19,152.01,0.167142857
Cardamom,1999,Whole Year ,TAMIL NADU,1213.0,112,922.8,128735.69,327.51,0.094
Cashewnut,1999,Whole Year ,TAMIL NADU,75832.0,20341,922.8,8048050.16,20474.64,0.309130435
Castor seed,1999,Kharif     ,TAMIL NADU,36034.0,11843,922.8,3824288.42,9729.18,0.351666667
Coriander,1999,Whole Year ,TAMIL NADU,24030.0,5500,922.8,2550303.9,6488.1,0.234090909
Cotton(lint),1999,Kharif     ,TAMIL NADU,184707.0,287965,922.8,19602953.91,49870.89,1.762222222
Dry chillies,1999,Whole Year ,TAMIL NADU,58302.0,32696,922.8,6187591.26,15741.54,0.720740741
Garlic,1999,Whole Year ,TAMIL NADU,543.0,3145,922.8,57628.59,146.61,5.8
Ginger,1999,Kharif     ,TAMIL NADU,468.0,12354,922.8,49668.84,126.36,25.9
Gram,1999,Rabi       ,TAMIL NADU,8283.0,5374,922.8,879074.79,2236.41,0.514615385
Groundnut,1999,Kharif     ,TAMIL NADU,865295.0,1537806,922.8,91833758.35,233629.65,1.731071429
Guar seed,1999,Whole Year ,TAMIL NADU,332323.0,3514258,922.8,35269439.99,89727.21,10.65148148
Horse-gram,1999,Kharif     ,TAMIL NADU,132166.0,57685,922.8,14026777.58,35684.82,0.440833333
Jowar,1999,Kharif     ,TAMIL NADU,491707.0,484265,922.8,52184863.91,132760.89,1.158695652
Maize,1999,Kharif     ,TAMIL NADU,115803.0,183765,922.8,12290172.39,31266.81,1.688
Mesta,1999,Kharif     ,TAMIL NADU,59.0,273,922.8,6261.67,15.93,4.526
Moong(Green Gram),1999,Kharif     ,TAMIL NADU,175337.0,93209,922.8,18608515.81,47340.99,0.541538462
Onion,1999,Whole Year ,TAMIL NADU,38384.0,315748,922.8,4073693.92,10363.68,8.005217391
Potato,1999,Whole Year ,TAMIL NADU,3803.0,72239,922.8,403612.39,1026.81,18.72
Ragi,1999,Kharif     ,TAMIL NADU,163024.0,282833,922.8,17301737.12,44016.48,1.647916667
Rapeseed &Mustard,1999,Rabi       ,TAMIL NADU,631.0,152,922.8,66968.03,170.37,0.206666667
Rice,1999,Kharif     ,TAMIL NADU,2204046.0,7225373,922.8,233915402.0,595092.42,3.499642857
Sannhamp,1999,Whole Year ,TAMIL NADU,7263.0,5298,922.8,770822.19,1961.01,0.73375
Sesamum,1999,Kharif     ,TAMIL NADU,172173.0,92906,922.8,18272720.49,46486.71,0.483846154
Sugarcane,1999,Whole Year ,TAMIL NADU,332332.0,35501817,922.8,35270395.16,89729.64,107.9448148
Sunflower,1999,Kharif     ,TAMIL NADU,22994.0,21913,922.8,2440353.22,6208.38,0.999583333
Sweet potato,1999,Whole Year ,TAMIL NADU,1860.0,22519,922.8,197401.8,502.2,12.04052632
Tapioca,1999,Whole Year ,TAMIL NADU,97165.0,3425515,922.8,10312121.45,26234.55,35.97692308
Tobacco,1999,Whole Year ,TAMIL NADU,5992.0,9369,922.8,635930.96,1617.84,1.476363636
Turmeric,1999,Whole Year ,TAMIL NADU,28325.0,149977,922.8,3006132.25,7647.75,5.419130435
Urad,1999,Kharif     ,TAMIL NADU,439604.0,218071,922.8,46655172.52,118693.08,0.517777778
Arhar/Tur,2000,Kharif     ,BIHAR,43604.0,58858,1207.0,4280604.68,11337.04,1.334324324
Bajra,2000,Kharif     ,BIHAR,1534.0,1266,1207.0,150592.78,398.84,0.7475
Banana,2000,Whole Year ,BIHAR,16186.0,339988,1207.0,1588979.62,4208.36,17.94875
Barley,2000,Rabi       ,BIHAR,22573.0,26499,1207.0,2215991.41,5868.98,1.188378378
Coriander,2000,Whole Year ,BIHAR,2511.0,1187,1207.0,246504.87,652.86,0.502
Dry chillies,2000,Whole Year ,BIHAR,4385.0,4641,1207.0,430475.45,1140.1,1.03
Garlic,2000,Whole Year ,BIHAR,2560.0,3611,1207.0,251315.2,665.6,1.365
Ginger,2000,Kharif     ,BIHAR,711.0,978,1207.0,69798.87,184.86,1.295714286
Gram,2000,Rabi       ,BIHAR,76155.0,78726,1207.0,7476136.35,19800.3,0.956969697
Groundnut,2000,Kharif     ,BIHAR,96.0,106,1207.0,9424.32,24.96,1.094
Horse-gram,2000,Kharif     ,BIHAR,17533.0,13548,1207.0,1721214.61,4558.58,0.74826087
Jowar,2000,Kharif     ,BIHAR,1087.0,994,1207.0,106710.79,282.62,0.926
Jute,2000,Kharif     ,BIHAR,135296.0,1083701,1207.0,13282008.32,35176.96,8.147692308
Khesari,2000,Rabi       ,BIHAR,157086.0,143687,1207.0,15421132.62,40842.36,0.835833333
Linseed,2000,Rabi       ,BIHAR,41828.0,28351,1207.0,4106254.76,10875.28,0.713055556
Maize,2000,Kharif     ,BIHAR,272957.0,477141,1207.0,26796188.69,70968.82,1.728918919
Maize,2000,Rabi       ,BIHAR,191502.0,549109,1207.0,18799751.34,49790.52,2.568571429
Maize,2000,Summer     ,BIHAR,156046.0,461059,1207.0,15319035.82,40571.96,2.77
Masoor,2000,Rabi       ,BIHAR,172202.0,170805,1207.0,16905070.34,44772.52,0.946216216
Mesta,2000,Kharif     ,BIHAR,31906.0,246248,1207.0,3132212.02,8295.56,6.971052632
Moong(Green Gram),2000,Kharif     ,BIHAR,9229.0,5165,1207.0,906010.93,2399.54,0.605333333
Moong(Green Gram),2000,Rabi       ,BIHAR,177813.0,103366,1207.0,17455902.21,46231.38,0.566470588
Onion,2000,Whole Year ,BIHAR,13788.0,140786,1207.0,1353567.96,3584.88,10.16783784
Other  Rabi pulses,2000,Rabi       ,BIHAR,3637.0,2333,1207.0,357044.29,945.62,0.667894737
Other Kharif pulses,2000,Kharif     ,BIHAR,1667.0,920,1207.0,163649.39,433.42,0.512380952
Peas & beans (Pulses),2000,Rabi       ,BIHAR,25712.0,24810,1207.0,2524147.04,6685.12,0.95
Potato,2000,Whole Year ,BIHAR,144563.0,1400358,1207.0,14191749.71,37586.38,9.984594595
Ragi,2000,Kharif     ,BIHAR,22452.0,24827,1207.0,2204112.84,5837.52,1.332903226
Rapeseed &Mustard,2000,Rabi       ,BIHAR,97011.0,84355,1207.0,9523569.87,25222.86,0.877567568
Rice,2000,Autumn     ,BIHAR,2939790.0,4444354,1207.0,288599184.3,764345.4,1.399189189
Rice,2000,Kharif     ,BIHAR,591705.0,786858,1207.0,58087679.85,153843.3,1.310645161
Rice,2000,Summer     ,BIHAR,125349.0,213158,1207.0,12305511.33,32590.74,1.590645161
Safflower,2000,Rabi       ,BIHAR,275.0,220,1207.0,26996.75,71.5,0.847777778
Sesamum,2000,Kharif     ,BIHAR,3581.0,1996,1207.0,351546.77,931.06,0.592142857
Small millets,2000,Kharif     ,BIHAR,7824.0,4315,1207.0,768082.08,2034.24,0.5756
Sugarcane,2000,Whole Year ,BIHAR,93529.0,3985577,1207.0,9181741.93,24317.54,37.13647059
Sunflower,2000,Kharif     ,BIHAR,10838.0,16707,1207.0,1063966.46,2817.88,1.407586207
Sweet potato,2000,Whole Year ,BIHAR,5009.0,60707,1207.0,491733.53,1302.34,12.08833333
Tobacco,2000,Whole Year ,BIHAR,15432.0,17947,1207.0,1514959.44,4012.32,1.154375
Turmeric,2000,Whole Year ,BIHAR,3121.0,3035,1207.0,306388.57,811.46,1.01
Urad,2000,Kharif     ,BIHAR,32064.0,20298,1207.0,3147722.88,8336.64,0.6309375
Wheat,2000,Rabi       ,BIHAR,2067333.0,4437958,1207.0,202950080.6,537506.58,2.073513514
Arhar/Tur,2000,Kharif     ,CHHATTISGARH,49383.0,21185,896.4,4847929.11,12839.58,0.42625
Bajra,2000,Kharif     ,CHHATTISGARH,78.0,31,896.4,7657.26,20.28,0.473333333
Bajra,2000,Whole Year ,CHHATTISGARH,201.0,8187,896.4,19732.17,52.26,38.278
Barley,2000,Rabi       ,CHHATTISGARH,4611.0,3873,896.4,452661.87,1198.86,0.77
Castor seed,2000,Kharif     ,CHHATTISGARH,133.0,36,896.4,13056.61,34.58,0.256666667
Coriander,2000,Whole Year ,CHHATTISGARH,3415.0,892,896.4,335250.55,887.9,0.256
Cotton(lint),2000,Kharif     ,CHHATTISGARH,69.0,10,896.4,6773.73,17.94,0.245
Dry chillies,2000,Whole Year ,CHHATTISGARH,5434.0,1380,896.4,533455.78,1412.84,0.250625
Garlic,2000,Whole Year ,CHHATTISGARH,708.0,2035,896.4,69504.36,184.08,2.946923077
Ginger,2000,Whole Year ,CHHATTISGARH,1652.0,1539,896.4,162176.84,429.52,1.069166667
Gram,2000,Rabi       ,CHHATTISGARH,140070.0,72136,896.4,13750671.9,36418.2,0.573125
Groundnut,2000,Kharif     ,CHHATTISGARH,34187.0,31965,896.4,3356137.79,8888.62,0.924375
Horse-gram,2000,Kharif     ,CHHATTISGARH,61595.0,18258,896.4,6046781.15,16014.7,0.276875
Jowar,2000,Kharif     ,CHHATTISGARH,10386.0,6907,896.4,1019593.62,2700.36,0.669333333
Khesari,2000,Rabi       ,CHHATTISGARH,250812.0,108852,896.4,24622214.04,65211.12,0.452
Linseed,2000,Rabi       ,CHHATTISGARH,74020.0,15840,896.4,7266543.4,19245.2,0.226666667
Maize,2000,Kharif     ,CHHATTISGARH,93364.0,125668,896.4,9165543.88,24274.64,1.168125
Masoor,2000,Rabi       ,CHHATTISGARH,12614.0,3418,896.4,1238316.38,3279.64,0.285333333
Mesta,2000,Kharif     ,CHHATTISGARH,1393.0,2803,896.4,136750.81,362.18,1.941333333
Moong(Green Gram),2000,Kharif     ,CHHATTISGARH,9836.0,2639,896.4,965600.12,2557.36,0.216875
Moong(Green Gram),2000,Rabi       ,CHHATTISGARH,4327.0,940,896.4,424781.59,1125.02,0.200666667
Niger seed,2000,Kharif     ,CHHATTISGARH,74256.0,13143,896.4,7289711.52,19306.56,0.165384615
Onion,2000,Whole Year ,CHHATTISGARH,3362.0,26533,896.4,330047.54,874.12,7.798
Other  Rabi pulses,2000,Rabi       ,CHHATTISGARH,1003.0,341,896.4,98464.51,260.78,0.327692308
Other Kharif pulses,2000,Kharif     ,CHHATTISGARH,4695.0,1558,896.4,460908.15,1220.7,0.335625
Peas & beans (Pulses),2000,Rabi       ,CHHATTISGARH,8855.0,3208,896.4,869295.35,2302.3,0.328666667
Potato,2000,Whole Year ,CHHATTISGARH,9092.0,66090,896.4,892561.64,2363.92,7.36625
Ragi,2000,Kharif     ,CHHATTISGARH,11183.0,2630,896.4,1097835.11,2907.58,0.213333333
Rapeseed &Mustard,2000,Rabi       ,CHHATTISGARH,48187.0,15950,896.4,4730517.79,12528.62,0.311875
Rice,2000,Kharif     ,CHHATTISGARH,3769746.0,2369295,896.4,370075964.8,980133.96,0.6575
Safflower,2000,Rabi       ,CHHATTISGARH,949.0,204,896.4,93163.33,246.74,0.274444444
Sannhamp,2000,Whole Year ,CHHATTISGARH,1788.0,502,896.4,175527.96,464.88,0.290625
Sesamum,2000,Kharif     ,CHHATTISGARH,23393.0,3953,896.4,2296490.81,6082.18,0.170625
Small millets,2000,Kharif     ,CHHATTISGARH,289664.0,45922,896.4,28436314.88,75312.64,0.146875
Soyabean,2000,Kharif     ,CHHATTISGARH,12662.0,6926,896.4,1243028.54,3292.12,0.580666667
Sugarcane,2000,Whole Year ,CHHATTISGARH,3317.0,8628,896.4,325629.89,862.42,2.739333333
Sunflower,2000,Kharif     ,CHHATTISGARH,1235.0,513,896.4,121239.95,321.1,0.4275
Sweet potato,2000,Whole Year ,CHHATTISGARH,2870.0,16869,896.4,281747.9,746.2,5.77875
Tobacco,2000,Whole Year ,CHHATTISGARH,42.0,20,896.4,4123.14,10.92,0.346666667
Turmeric,2000,Whole Year ,CHHATTISGARH,635.0,642,896.4,62337.95,165.1,1.060666667
Urad,2000,Kharif     ,CHHATTISGARH,116722.0,32851,896.4,11458598.74,30347.72,0.2825
Urad,2000,Rabi       ,CHHATTISGARH,5201.0,1247,896.4,510582.17,1352.26,0.210833333
Wheat,2000,Rabi       ,CHHATTISGARH,77844.0,79488,896.4,7641945.48,20239.44,1.214375
Arhar/Tur,2000,Kharif     ,HIMACHAL PRADESH,272.0,44,1068.4,26702.24,70.72,0.305714286
Bajra,2000,Kharif     ,HIMACHAL PRADESH,116.0,41,1068.4,11387.72,30.16,0.51
Barley,2000,Rabi       ,HIMACHAL PRADESH,25639.0,21414,1068.4,2516980.63,6666.14,0.8325
Gram,2000,Rabi       ,HIMACHAL PRADESH,1403.0,857,1068.4,137732.51,364.78,0.553333333
Groundnut,2000,Kharif     ,HIMACHAL PRADESH,137.0,82,1068.4,13449.29,35.62,0.408333333
Horse-gram,2000,Kharif     ,HIMACHAL PRADESH,2807.0,805,1068.4,275563.19,729.82,0.278181818
Jowar,2000,Kharif     ,HIMACHAL PRADESH,287.0,89,1068.4,28174.79,74.62,0.15
Linseed,2000,Rabi       ,HIMACHAL PRADESH,2444.0,349,1068.4,239927.48,635.44,0.113333333
Maize,2000,Kharif     ,HIMACHAL PRADESH,298052.0,683642,1068.4,29259764.84,77493.52,2.3325
Masoor,2000,Kharif     ,HIMACHAL PRADESH,993.0,276,1068.4,97482.81,258.18,0.419090909
Moong(Green Gram),2000,Kharif     ,HIMACHAL PRADESH,288.0,81,1068.4,28272.96,74.88,0.3775
Other Kharif pulses,2000,Kharif     ,HIMACHAL PRADESH,5644.0,2358,1068.4,554071.48,1467.44,0.531818182
Peas & beans (Pulses),2000,Kharif     ,HIMACHAL PRADESH,5510.0,11886,1068.4,540916.7,1432.6,1.345555556
Rapeseed &Mustard,2000,Rabi       ,HIMACHAL PRADESH,9686.0,3637,1068.4,950874.62,2518.36,0.500909091
Rice,2000,Kharif     ,HIMACHAL PRADESH,81519.0,124893,1068.4,8002720.23,21194.94,1.55
Sesamum,2000,Kharif     ,HIMACHAL PRADESH,4596.0,1738,1068.4,451189.32,1194.96,0.263333333
Small millets,2000,Kharif     ,HIMACHAL PRADESH,15278.0,6548,1068.4,1499841.26,3972.28,0.35
Soyabean,2000,Kharif     ,HIMACHAL PRADESH,649.0,585,1068.4,63712.33,168.74,0.912857143
Sugarcane,2000,Whole Year ,HIMACHAL PRADESH,2817.0,7854,1068.4,276544.89,732.42,2.665714286
Urad,2000,Kharif     ,HIMACHAL PRADESH,14161.0,4153,1068.4,1390185.37,3681.86,0.401818182
Wheat,2000,Rabi       ,HIMACHAL PRADESH,362660.0,261319,1068.4,35602332.2,94291.6,0.803333333
Arhar/Tur,2000,Kharif     ,PUNJAB,8700.0,7600,405.3,854079.0,2262.0,0.913846154
Bajra,2000,Kharif     ,PUNJAB,6000.0,5000,405.3,589020.0,1560.0,0.875
Barley,2000,Rabi       ,PUNJAB,32000.0,109000,405.3,3141440.0,8320.0,3.314
Cotton(lint),2000,Kharif     ,PUNJAB,474000.0,1199000,405.3,46532580.0,123240.0,2.131
Gram,2000,Rabi       ,PUNJAB,7700.0,7300,405.3,755909.0,2002.0,0.92125
Groundnut,2000,Kharif     ,PUNJAB,4000.0,4000,405.3,392680.0,1040.0,1.0
Linseed,2000,Rabi       ,PUNJAB,600.0,600,405.3,58902.0,156.0,1.0
Maize,2000,Kharif     ,PUNJAB,165000.0,461000,405.3,16198050.0,42900.0,2.904615385
Masoor,2000,Rabi       ,PUNJAB,4700.0,3100,405.3,461399.0,1222.0,0.77375
Moong(Green Gram),2000,Kharif     ,PUNJAB,29500.0,18400,405.3,2896015.0,7670.0,0.665
Moth,2000,Kharif     ,PUNJAB,300.0,300,405.3,29451.0,78.0,1.0
Other  Rabi pulses,2000,Rabi       ,PUNJAB,5900.0,6300,405.3,579203.0,1534.0,1.006363636
Rice,2000,Kharif     ,PUNJAB,2611000.0,9154000,405.3,256321870.0,678860.0,3.501764706
Sesamum,2000,Kharif     ,PUNJAB,19200.0,7660,405.3,1884864.0,4992.0,0.282142857
Sugarcane,2000,Whole Year ,PUNJAB,121000.0,7770000,405.3,11878570.0,31460.0,65.445625
Wheat,2000,Rabi       ,PUNJAB,3408000.0,15551000,405.3,334563360.0,886080.0,4.503529412
Arhar/Tur,2000,Kharif     ,TAMIL NADU,84929.0,60293,971.1,8337479.93,22081.54,0.674347826
Bajra,2000,Kharif     ,TAMIL NADU,199655.0,303245,971.1,19600131.35,51910.3,1.5484
Banana,2000,Whole Year ,TAMIL NADU,77485.0,2473512,971.1,7606702.45,20146.1,29.60107143
Black pepper,2000,Whole Year ,TAMIL NADU,1640.0,449,971.1,160998.8,426.4,0.184285714
Cardamom,2000,Whole Year ,TAMIL NADU,2144.0,204,971.1,210476.48,557.44,0.078
Cashewnut,2000,Whole Year ,TAMIL NADU,88123.0,20348,971.1,8651034.91,22911.98,0.304782609
Castor seed,2000,Kharif     ,TAMIL NADU,38930.0,12658,971.1,3821758.1,10121.8,0.334736842
Coriander,2000,Whole Year ,TAMIL NADU,19170.0,4132,971.1,1881918.9,4984.2,0.2365
Cotton(lint),2000,Kharif     ,TAMIL NADU,193850.0,325079,971.1,19030254.5,50401.0,1.807777778
Dry chillies,2000,Whole Year ,TAMIL NADU,66601.0,35263,971.1,6538220.17,17316.26,0.692592593
Garlic,2000,Whole Year ,TAMIL NADU,601.0,3516,971.1,59000.17,156.26,5.74
Ginger,2000,Kharif     ,TAMIL NADU,95.0,2515,971.1,9326.15,24.7,26.405
Gram,2000,Rabi       ,TAMIL NADU,5688.0,3514,971.1,558390.96,1478.88,0.546153846
Groundnut,2000,Kharif     ,TAMIL NADU,825063.0,1456648,971.1,80996434.71,214516.38,1.723571429
Horse-gram,2000,Kharif     ,TAMIL NADU,148579.0,65066,971.1,14586000.43,38630.54,0.429545455
Jowar,2000,Kharif     ,TAMIL NADU,491681.0,496607,971.1,48268323.77,127837.06,1.012727273
Maize,2000,Kharif     ,TAMIL NADU,119802.0,193854,971.1,11760962.34,31148.52,1.629090909
Mesta,2000,Kharif     ,TAMIL NADU,134.0,594,971.1,13154.78,34.84,3.683333333
Moong(Green Gram),2000,Kharif     ,TAMIL NADU,198603.0,90864,971.1,19496856.51,51636.78,0.484814815
Onion,2000,Whole Year ,TAMIL NADU,29822.0,265887,971.1,2927625.74,7753.72,8.016666667
Other Cereals,2000,Kharif     ,TAMIL NADU,87384.0,75741,971.1,8578487.28,22719.84,0.826315789
Other Kharif pulses,2000,Kharif     ,TAMIL NADU,167657.0,33762,971.1,16458887.69,43590.82,0.1988
Potato,2000,Whole Year ,TAMIL NADU,2723.0,49126,971.1,267316.91,707.98,18.08
Ragi,2000,Kharif     ,TAMIL NADU,165144.0,283091,971.1,16212186.48,42937.44,1.63125
Rapeseed &Mustard,2000,Rabi       ,TAMIL NADU,753.0,185,971.1,73922.01,195.78,0.228
Rice,2000,Kharif     ,TAMIL NADU,2113344.0,7217903,971.1,207466980.5,549469.44,3.611785714
Sannhamp,2000,Whole Year ,TAMIL NADU,10538.0,7681,971.1,1034515.46,2739.88,0.725625
Sesamum,2000,Kharif     ,TAMIL NADU,177943.0,100187,971.1,17468664.31,46265.18,0.506296296
Sugarcane,2000,Whole Year ,TAMIL NADU,317473.0,34062855,971.1,31166324.41,82542.98,108.0914815
Sunflower,2000,Kharif     ,TAMIL NADU,13345.0,14389,971.1,1310078.65,3469.7,1.040434783
Sweet potato,2000,Whole Year ,TAMIL NADU,916.0,10581,971.1,89923.72,238.16,11.92647059
Tapioca,2000,Whole Year ,TAMIL NADU,109681.0,4017008,971.1,10767383.77,28517.06,36.006
Tobacco,2000,Whole Year ,TAMIL NADU,5926.0,9225,971.1,581755.42,1540.76,1.527
Turmeric,2000,Whole Year ,TAMIL NADU,28675.0,149252,971.1,2815024.75,7455.5,5.306086957
Urad,2000,Kharif     ,TAMIL NADU,503982.0,244412,971.1,49475912.94,131035.32,0.517777778
Arhar/Tur,2000,Kharif     ,UTTARAKHAND,1890.0,981,1413.4,185541.3,491.4,0.631
Bajra,2000,Kharif     ,UTTARAKHAND,11.0,15,1413.4,1079.87,2.86,1.36
Barley,2000,Rabi       ,UTTARAKHAND,25797.0,25064,1413.4,2532491.49,6707.22,0.978461538
Garlic,2000,Whole Year ,UTTARAKHAND,2062.0,16274,1413.4,202426.54,536.12,5.604761905
Gram,2000,Rabi       ,UTTARAKHAND,993.0,683,1413.4,97482.81,258.18,0.688
Groundnut,2000,Kharif     ,UTTARAKHAND,1750.0,1481,1413.4,171797.5,455.0,0.89
Horse-gram,2000,Kharif     ,UTTARAKHAND,9223.0,4787,1413.4,905421.91,2397.98,0.555454545
